item_id,question_slot,question_idx,display_letter,model,state,variant,condition,source_file,composite_score,factual_accuracy,relevance,conciseness,no_hallucination
Q01_A,1,13,A,qwen3-14B-grpo,base,sysprompt_rag,base_sysprompt_rag,fine-tuning/qwen3-14B-grpo/results/eval_base_sysprompt_rag.csv,0.583333,3.0,3.3333,2.3333,2.0
Q01_B,1,13,B,gemma3-12b-grpo,base,sysprompt_rag,base_sysprompt_rag,fine-tuning/gemma3-12b-grpo/results/eval_base_sysprompt_rag.csv,0.74,3.0,5.0,5.0,3.0
Q01_C,1,13,C,mistral-nemo-12b-grpo,finetuned,plain,finetuned_plain,fine-tuning/mistral-nemo-12b-grpo/results/eval_finetuned_plain.csv,0.02,0.0,0.0,1.0,0.0
Q01_D,1,13,D,mistral-nemo-12b-grpo,finetuned,sysprompt_rag,finetuned_sysprompt_rag,fine-tuning/mistral-nemo-12b-grpo/results/eval_finetuned_sysprompt_rag.csv,0.16,0.0,2.0,3.0,0.0
Q01_E,1,13,E,qwen3-14B-grpo,finetuned,sysprompt_rag_fewshot,finetuned_sysprompt_rag_fewshot,fine-tuning/qwen3-14B-grpo/results/eval_finetuned_sysprompt_rag_fewshot.csv,0.33,0.6667,3.0,2.3333,3.0
Q02_A,2,17,A,mistral-nemo-12b-grpo,finetuned,plain,finetuned_plain,fine-tuning/mistral-nemo-12b-grpo/results/eval_finetuned_plain.csv,0.026667,0.0,0.0,1.3333,0.0
Q02_B,2,17,B,mistral-nemo-12b-grpo,finetuned,sysprompt_rag_fewshot,finetuned_sysprompt_rag_fewshot,fine-tuning/mistral-nemo-12b-grpo/results/eval_finetuned_sysprompt_rag_fewshot.csv,1.0,5.0,5.0,5.0,5.0
Q02_C,2,17,C,qwen3-14B-grpo,base,sysprompt_fewshot,base_sysprompt_fewshot,fine-tuning/qwen3-14B-grpo/results/eval_base_sysprompt_fewshot.csv,0.523333,2.3333,3.3333,2.3333,2.6667
Q02_D,2,17,D,mistral-nemo-12b-grpo,base,sysprompt,base_sysprompt,fine-tuning/mistral-nemo-12b-grpo/results/eval_base_sysprompt.csv,0.646667,3.0,3.6667,3.6667,3.0
Q02_E,2,17,E,gemma3-12b-grpo,finetuned,plain,finetuned_plain,fine-tuning/gemma3-12b-grpo/results/eval_finetuned_plain.csv,0.316667,1.3333,1.6667,2.0,2.3333
Q03_A,3,19,A,qwen3-14B-grpo,base,fewshot,base_fewshot,fine-tuning/qwen3-14B-grpo/results/eval_base_fewshot.csv,0.783333,4.6667,3.0,2.0,4.0
Q03_B,3,19,B,gemma3-12b-grpo,finetuned,plain,finetuned_plain,fine-tuning/gemma3-12b-grpo/results/eval_finetuned_plain.csv,0.006667,0.0,0.0,0.3333,0.0
Q03_C,3,19,C,qwen3-14B-grpo,base,sysprompt_rag,base_sysprompt_rag,fine-tuning/qwen3-14B-grpo/results/eval_base_sysprompt_rag.csv,0.496667,2.3333,2.6667,2.0,3.3333
Q03_D,3,19,D,mistral-nemo-12b-grpo,finetuned,sysprompt_rag_fewshot,finetuned_sysprompt_rag_fewshot,fine-tuning/mistral-nemo-12b-grpo/results/eval_finetuned_sysprompt_rag_fewshot.csv,1.0,5.0,5.0,5.0,5.0
Q03_E,3,19,E,qwen3-14B-grpo,finetuned,plain,finetuned_plain,fine-tuning/qwen3-14B-grpo/results/eval_finetuned_plain.csv,0.136667,0.0,1.0,1.0,3.3333
Q04_A,4,25,A,gemma3-12b-grpo,base,fewshot,base_fewshot,fine-tuning/gemma3-12b-grpo/results/eval_base_fewshot.csv,1.0,5.0,5.0,5.0,5.0
Q04_B,4,25,B,gemma3-12b-grpo,base,plain,base_plain,fine-tuning/gemma3-12b-grpo/results/eval_base_plain.csv,0.456667,2.0,2.3333,3.0,3.0
Q04_C,4,25,C,qwen3-14B-grpo,finetuned,plain,finetuned_plain,fine-tuning/qwen3-14B-grpo/results/eval_finetuned_plain.csv,0.14,0.3333,1.0,1.3333,1.3333
Q04_D,4,25,D,qwen3-14B-grpo,finetuned,fewshot,finetuned_fewshot,fine-tuning/qwen3-14B-grpo/results/eval_finetuned_fewshot.csv,0.756667,4.0,3.6667,3.0,3.6667
Q04_E,4,25,E,gemma3-12b-grpo,finetuned,rag,finetuned_rag,fine-tuning/gemma3-12b-grpo/results/eval_finetuned_rag.csv,0.033333,0.0,0.0,1.6667,0.0
Q05_A,5,26,A,qwen3-14B-grpo,base,sysprompt_fewshot,base_sysprompt_fewshot,fine-tuning/qwen3-14B-grpo/results/eval_base_sysprompt_fewshot.csv,0.45,2.0,3.0,2.0,2.0
Q05_B,5,26,B,gemma3-12b-grpo,finetuned,rag_fewshot,finetuned_rag_fewshot,fine-tuning/gemma3-12b-grpo/results/eval_finetuned_rag_fewshot.csv,0.853333,4.3333,4.3333,4.3333,3.6667
